,"Momentum(AAPL,20d)","MeanReversion(AAPL,20d,z>1.0)","SMACross(AAPL,20/50)","RSI(AAPL,14d,buy<30)","BollingerBreakout(AAPL,20d,k=2.0)",BuyHold(AAPL),EqualWeight(SMA20>50),"InverseVol(SMA20>50,vol60d)",EW_Universe(passive),BM1_SMACross(20/50),"BM2_TopK_Mom(30d,K=10)","NEW1_TopKLongMomInvVol(L90,K8)","NEW2_RegimeMom(L60,K10,50/200)"
2022-04-04,986228.8200069942,1019097.9975757933,1000000.0,1097020.0537264948,1025104.8428793014,1012253.2334921714,1008915.598512552,1006384.1419094707,1012150.3887506387,1008915.598512552,946894.1310524452,970511.4658636041,1000000.0
2022-04-05,967547.7316208496,1019097.9975757933,1000000.0,1097020.0537264948,1005687.3671511462,993079.1921942364,989531.9008000362,993309.3619681438,989158.893057389,989531.9008000362,917562.9974988587,963058.6723149084,1000000.0
2022-04-06,949695.6856187056,1019097.9975757933,981549.1831372102,1097020.0537264948,987131.613718619,974756.0698888133,977040.3881971986,987825.68781124,974641.7746324,977040.3881971986,888611.409481612,975313.3752856698,1000000.0
2022-04-07,951409.039878973,1019097.9975757933,983320.0045698617,1097020.0537264948,988912.5064629172,976514.6358066711,982443.7358502436,993570.6529614403,977759.0452306332,982443.7358502436,894209.1164804515,975532.8137211582,1000000.0
2022-04-08,940078.7939642997,1019097.9975757933,971609.7338055525,1097020.0537264948,977135.6350893319,964885.409575675,974673.1179660453,988475.0206900208,967678.2770891843,974673.1179660453,897911.0936176411,985006.7986334204,1000000.0
2022-04-11,916091.8343205518,1019097.9975757933,946818.2337484291,1097020.0537264948,952203.1366691561,940265.4867256636,954214.8493550826,969862.6135586973,951833.7760058921,954214.8493550826,875353.6867961475,974546.8950018642,1000000.0
2022-04-12,926648.3073434916,1019097.9975757933,957728.7787044442,1097020.0537264948,963175.733900155,951100.521896982,953370.6934912342,968428.5225345339,948922.9611909912,953370.6934912342,873765.3988972581,977902.7687444831,1000000.0
2022-04-13,941792.1482245674,1019097.9975757933,973380.5552382041,1097020.0537264948,978916.5278336302,966643.9754935331,974366.312945258,986392.4039146523,969795.4613236198,974366.312945258,891114.9891301695,991293.1221347665,1000000.0
2022-04-14,913549.4376762836,1019097.9975757933,944190.5632354622,1097020.0537264948,949560.5216292295,937656.0018152938,957814.1529736704,972408.4471175014,950897.0998347313,957814.1529736704,880854.9964407645,988227.6537511679,1000000.0
2022-04-18,912333.5088464163,1017741.5842448799,942933.8512509996,1097020.0537264948,948296.6622623083,936407.987292943,954405.7989971315,968225.7645849802,947496.0287553947,954405.7989971315,874282.3058966994,980720.224325397,1000000.0
2022-04-19,925211.3005445574,1032107.2345222809,956243.5736318977,1097020.0537264948,961682.0819210663,949625.5956432947,974483.4547699691,985817.6489035465,969735.3477129492,974483.4547699691,891950.7589561136,985694.7857574451,1000000.0
2022-04-20,924271.7191760234,1031059.0969483932,955272.4780075402,1097020.0537264948,960705.4633193542,948661.2207851144,972637.6607395601,988374.4005377213,960846.0187466341,972637.6607395601,873907.9610732254,991517.3551069052,1000000.0
2022-04-21,924271.7191760234,1026065.0296845757,950645.4929738375,1097020.0537264948,956052.162922962,944066.2582255503,952145.551397468,973553.0959770944,937956.0934900873,952145.551397468,845408.2367642522,974879.7198163184,1000000.0
2022-04-22,924271.7191760234,997518.6945839893,924197.4180281047,1097020.0537264948,929453.6680645717,917801.2253233491,923717.628610802,945516.0108539243,913250.0737446434,923717.628610802,823843.1814607667,948922.794106775,1000000.0
2022-04-25,924271.7191760234,1004239.1060871512,930423.854678396,1097020.0537264948,935715.5167461366,923984.5700022691,934307.7959767613,953827.1103362519,925283.1467978868,934307.7959767613,829634.9152250614,946138.1263807386,1000000.0
2022-04-26,924271.7191760234,966752.7740328176,895692.905289615,1056070.3857091994,900787.0396966739,889493.9868391196,906194.9850898378,930462.4094886731,893601.4309776806,906194.9850898378,800598.8886506539,934212.0124025226,1000000.0
